Name,Modality,Bodypart
D:\Intership\data\BACTERIA-2190092-0001.jpg,XRay,Chest
D:\Intership\data\VIRUS-8054264-0008.jpg,XRay,Chest
D:\Intership\data\BACTERIA-3647346-0001.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (643).jpg,CT,Brain
D:\Intership\data\Stone- (349).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (416).jpg,CT,Brain
D:\Intership\data\20_0_88.jpg,CT,Brain
D:\Intership\data\11849.jpg,XRay,Hand
D:\Intership\data\Stone- (1242).jpg,CT,Abdominal
D:\Intership\data\Normal- (991).jpg,CT,Abdominal
D:\Intership\data\N20_0_141.jpg,CT,Brain
D:\Intership\data\19_0_28.jpg,CT,Brain
D:\Intership\data\15436.jpg,XRay,Hand
D:\Intership\data\N3_0_61.jpg,CT,Brain
D:\Intership\data\19_0_35.jpg,CT,Brain
D:\Intership\data\8813.jpg,XRay,Hand
D:\Intership\data\Cancer (516).jpg,CT,Brain
D:\Intership\data\7435.jpg,XRay,Hand
D:\Intership\data\8828.jpg,XRay,Hand
D:\Intership\data\12797.jpg,XRay,Hand
D:\Intership\data\17_0_89.jpg,CT,Brain
D:\Intership\data\Tumor- (244).jpg,CT,Abdominal
D:\Intership\data\VIRUS-3312900-0001.jpg,XRay,Chest
D:\Intership\data\N1_0_118.jpg,CT,Brain
D:\Intership\data\Tumor- (1287).jpg,CT,Abdominal
D:\Intership\data\13022.jpg,XRay,Hand
D:\Intership\data\9_0_49.jpg,CT,Brain
D:\Intership\data\8_0_49.jpg,CT,Brain
D:\Intership\data\2357.jpg,XRay,Hand
D:\Intership\data\Normal- (1799).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-5250831-0002.jpg,XRay,Chest
D:\Intership\data\Cyst- (1200).jpg,CT,Abdominal
D:\Intership\data\5292.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (295).jpg,CT,Brain
D:\Intership\data\ID_0097_AGE_0060_CONTRAST_0_CT.jpg,CT,Chest
D:\Intership\data\Cancer (2097).jpg,CT,Brain
D:\Intership\data\Normal- (1993).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1379).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1609).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (907).jpg,CT,Brain
D:\Intership\data\11736.jpg,XRay,Hand
D:\Intership\data\BACTERIA-3182281-0001.jpg,XRay,Chest
D:\Intership\data\JPCLN084.jpg,XRay,Chest
D:\Intership\data\BACTERIA-992913-0001.jpg,XRay,Chest
D:\Intership\data\NORMAL-3803096-0001.jpg,XRay,Chest
D:\Intership\data\13704.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (2053).jpg,CT,Brain
D:\Intership\data\9_0_129.jpg,CT,Brain
D:\Intership\data\13122.jpg,XRay,Hand
D:\Intership\data\9525.jpg,XRay,Hand
D:\Intership\data\Cyst- (2447).jpg,CT,Abdominal
D:\Intership\data\ventrikler-parankimal kanama_0_45.jpg,CT,Brain
D:\Intership\data\1_0_132.jpg,CT,Brain
D:\Intership\data\7266.jpg,XRay,Hand
D:\Intership\data\9718.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (33).jpg,CT,Brain
D:\Intership\data\11589.jpg,XRay,Hand
D:\Intership\data\N2_0_102.jpg,CT,Brain
D:\Intership\data\VIRUS-3098348-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (1905).jpg,CT,Abdominal
D:\Intership\data\10330.jpg,XRay,Hand
D:\Intership\data\Cyst- (3222).jpg,CT,Abdominal
D:\Intership\data\Cyst- (159).jpg,CT,Abdominal
D:\Intership\data\8_0_119.jpg,CT,Brain
D:\Intership\data\13389.jpg,XRay,Hand
D:\Intership\data\Cancer (1945).jpg,CT,Brain
D:\Intership\data\Tumor- (2209).jpg,CT,Abdominal
D:\Intership\data\5683.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (866).jpg,CT,Brain
D:\Intership\data\BACTERIA-9545891-0001.jpg,XRay,Chest
D:\Intership\data\7551.jpg,XRay,Hand
D:\Intership\data\Cyst- (2852).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-3294243-0001.jpg,XRay,Chest
D:\Intership\data\15576.jpg,XRay,Hand
D:\Intership\data\7186.jpg,XRay,Hand
D:\Intership\data\13371.jpg,XRay,Hand
D:\Intership\data\Normal- (4082).jpg,CT,Abdominal
D:\Intership\data\Tumor- (1556).jpg,CT,Abdominal
D:\Intership\data\15294.jpg,XRay,Hand
D:\Intership\data\8551.jpg,XRay,Hand
D:\Intership\data\1481.jpg,XRay,Hand
D:\Intership\data\9923.jpg,XRay,Hand
D:\Intership\data\10990.jpg,XRay,Hand
D:\Intership\data\9744.jpg,XRay,Hand
D:\Intership\data\Normal- (3958).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (203).jpg,CT,Brain
D:\Intership\data\5168.jpg,XRay,Hand
D:\Intership\data\8121.jpg,XRay,Hand
D:\Intership\data\VIRUS-7904047-0002.jpg,XRay,Chest
D:\Intership\data\4_0_24.jpg,CT,Brain
D:\Intership\data\Normal- (3723).jpg,CT,Abdominal
D:\Intership\data\Tumor- (501).jpg,CT,Abdominal
D:\Intership\data\5127.jpg,XRay,Hand
D:\Intership\data\Stone- (923).jpg,CT,Abdominal
D:\Intership\data\1728.jpg,XRay,Hand
D:\Intership\data\VIRUS-1855562-0002.jpg,XRay,Chest
D:\Intership\data\N11_0_22.jpg,CT,Brain
D:\Intership\data\Not Cancer  (279).jpg,CT,Brain
D:\Intership\data\Stone- (1367).jpg,CT,Abdominal
D:\Intership\data\Cyst- (2387).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (1439).jpg,CT,Brain
D:\Intership\data\BACTERIA-288869-0001.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (1293).jpg,CT,Brain
D:\Intership\data\Cyst- (1206).jpg,CT,Abdominal
D:\Intership\data\VIRUS-1734791-0003.jpg,XRay,Chest
D:\Intership\data\17_0_88.jpg,CT,Brain
D:\Intership\data\11114.jpg,XRay,Hand
D:\Intership\data\2374.jpg,XRay,Hand
D:\Intership\data\Cancer (1410).jpg,CT,Brain
D:\Intership\data\NORMAL-9019297-0002.jpg,XRay,Chest
D:\Intership\data\Cyst- (2767).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-2648560-0002.jpg,XRay,Chest
D:\Intership\data\Cancer (232).jpg,CT,Brain
D:\Intership\data\N14_0_18.jpg,CT,Brain
D:\Intership\data\Cancer (171).jpg,CT,Brain
D:\Intership\data\Stone- (14).jpg,CT,Abdominal
D:\Intership\data\Tumor- (1482).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1627).jpg,CT,Abdominal
D:\Intership\data\Cyst- (371).jpg,CT,Abdominal
D:\Intership\data\11013.jpg,XRay,Hand
D:\Intership\data\N3_0_316.jpg,CT,Brain
D:\Intership\data\2563.jpg,XRay,Hand
D:\Intership\data\BACTERIA-2365050-0001.jpg,XRay,Chest
D:\Intership\data\NORMAL-7411302-0001.jpg,XRay,Chest
D:\Intership\data\IMG-0002-00159.jpg,CT,Brain
D:\Intership\data\VIRUS-4757979-0003.jpg,XRay,Chest
D:\Intership\data\Cancer (1987).jpg,CT,Brain
D:\Intership\data\Normal- (1424).jpg,CT,Abdominal
D:\Intership\data\1926.jpg,XRay,Hand
D:\Intership\data\Cyst- (31).jpg,CT,Abdominal
D:\Intership\data\5496.jpg,XRay,Hand
D:\Intership\data\N1_0_76.jpg,CT,Brain
D:\Intership\data\Stone- (445).jpg,CT,Abdominal
D:\Intership\data\Cancer (262).jpg,CT,Brain
D:\Intership\data\6706.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (744).jpg,CT,Brain
D:\Intership\data\N5_0_23.jpg,CT,Brain
D:\Intership\data\Tumor- (195).jpg,CT,Abdominal
D:\Intership\data\12911.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1140).jpg,CT,Brain
D:\Intership\data\11729.jpg,XRay,Hand
D:\Intership\data\20_0_138.jpg,CT,Brain
D:\Intership\data\Cancer (361).jpg,CT,Brain
D:\Intership\data\9173.jpg,XRay,Hand
D:\Intership\data\6676.jpg,XRay,Hand
D:\Intership\data\6735.jpg,XRay,Hand
D:\Intership\data\BACTERIA-4531690-0003.jpg,XRay,Chest
D:\Intership\data\VIRUS-7796189-0002.jpg,XRay,Chest
D:\Intership\data\12749.jpg,XRay,Hand
D:\Intership\data\Stone- (1082).jpg,CT,Abdominal
D:\Intership\data\7723.jpg,XRay,Hand
D:\Intership\data\2603.jpg,XRay,Hand
D:\Intership\data\Cyst- (2090).jpg,CT,Abdominal
D:\Intership\data\Normal- (526).jpg,CT,Abdominal
D:\Intership\data\VIRUS-8111843-0004.jpg,XRay,Chest
D:\Intership\data\N22_0_7.jpg,CT,Brain
D:\Intership\data\17_0_157.jpg,CT,Brain
D:\Intership\data\Normal- (3809).jpg,CT,Abdominal
D:\Intership\data\3530.jpg,XRay,Hand
D:\Intership\data\14711.jpg,XRay,Hand
D:\Intership\data\N11_0_47.jpg,CT,Brain
D:\Intership\data\N5_0_31.jpg,CT,Brain
D:\Intership\data\NORMAL-9033279-0001.jpg,XRay,Chest
D:\Intership\data\12921.jpg,XRay,Hand
D:\Intership\data\VIRUS-2474652-0009.jpg,XRay,Chest
D:\Intership\data\Normal- (275).jpg,CT,Abdominal
D:\Intership\data\IMG-0001-00018.jpg,CT,Brain
D:\Intership\data\Cyst- (1880).jpg,CT,Abdominal
D:\Intership\data\9_0_103.jpg,CT,Brain
D:\Intership\data\Cyst- (1306).jpg,CT,Abdominal
D:\Intership\data\Cyst- (3287).jpg,CT,Abdominal
D:\Intership\data\Cancer (65).jpg,CT,Brain
D:\Intership\data\6831.jpg,XRay,Hand
D:\Intership\data\N3_0_55.jpg,CT,Brain
D:\Intership\data\Cancer (114).jpg,CT,Brain
D:\Intership\data\11454.jpg,XRay,Hand
D:\Intership\data\Cancer (269).jpg,CT,Brain
D:\Intership\data\12662.jpg,XRay,Hand
D:\Intership\data\Tumor- (972).jpg,CT,Abdominal
D:\Intership\data\8_0_48.jpg,CT,Brain
D:\Intership\data\BACTERIA-2949827-0006.jpg,XRay,Chest
D:\Intership\data\7797.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (2006).jpg,CT,Brain
D:\Intership\data\Stone- (787).jpg,CT,Abdominal
D:\Intership\data\N20_0_222.jpg,CT,Brain
D:\Intership\data\Normal- (4586).jpg,CT,Abdominal
D:\Intership\data\13099.jpg,XRay,Hand
D:\Intership\data\N1_0_172.jpg,CT,Brain
D:\Intership\data\Cyst- (2219).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (941).jpg,CT,Brain
D:\Intership\data\13581.jpg,XRay,Hand
D:\Intership\data\Cyst- (1373).jpg,CT,Abdominal
D:\Intership\data\N16_0_73.jpg,CT,Brain
D:\Intership\data\Normal- (504).jpg,CT,Abdominal
D:\Intership\data\Stone- (528).jpg,CT,Abdominal
D:\Intership\data\Normal- (3025).jpg,CT,Abdominal
D:\Intership\data\Tumor- (1997).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1299).jpg,CT,Abdominal
D:\Intership\data\13938.jpg,XRay,Hand
D:\Intership\data\12_0_175.jpg,CT,Brain
D:\Intership\data\VIRUS-5781499-0001.jpg,XRay,Chest
D:\Intership\data\VIRUS-5386176-0002.jpg,XRay,Chest
D:\Intership\data\VIRUS-3182281-0002.jpg,XRay,Chest
D:\Intership\data\3691.jpg,XRay,Hand
D:\Intership\data\Cyst- (321).jpg,CT,Abdominal
D:\Intership\data\8730.jpg,XRay,Hand
D:\Intership\data\Cyst- (1439).jpg,CT,Abdominal
D:\Intership\data\000024 (2).jpg,CT,Chest
D:\Intership\data\6454.jpg,XRay,Hand
D:\Intership\data\VIRUS-213315-0001.jpg,XRay,Chest
D:\Intership\data\7304.jpg,XRay,Hand
D:\Intership\data\Tumor- (1988).jpg,CT,Abdominal
D:\Intership\data\ventrikler-parankimal kanama_0_46.jpg,CT,Brain
D:\Intership\data\7463.jpg,XRay,Hand
D:\Intership\data\Normal- (2756).jpg,CT,Abdominal
D:\Intership\data\VIRUS-444191-0002.jpg,XRay,Chest
D:\Intership\data\Normal- (329).jpg,CT,Abdominal
D:\Intership\data\17_0_55.jpg,CT,Brain
D:\Intership\data\N12_0_136.jpg,CT,Brain
D:\Intership\data\Tumor- (1989).jpg,CT,Abdominal
D:\Intership\data\Normal- (1162).jpg,CT,Abdominal
D:\Intership\data\Stone- (1020).jpg,CT,Abdominal
D:\Intership\data\Cancer (1025).JPG,CT,Brain
D:\Intership\data\Normal- (2248).jpg,CT,Abdominal
D:\Intership\data\Normal- (1385).jpg,CT,Abdominal
D:\Intership\data\14771.jpg,XRay,Hand
D:\Intership\data\11 - Copy - Copy.jpg,CT,Chest
D:\Intership\data\14798.jpg,XRay,Hand
D:\Intership\data\BACTERIA-4687423-0001.jpg,XRay,Chest
D:\Intership\data\Cancer (2188).jpg,CT,Brain
D:\Intership\data\Tumor- (1169).jpg,CT,Abdominal
D:\Intership\data\000075 (5).jpg,CT,Chest
D:\Intership\data\12720.jpg,XRay,Hand
D:\Intership\data\N20_0_58.jpg,CT,Brain
D:\Intership\data\2241.jpg,XRay,Hand
D:\Intership\data\Cyst- (1662).jpg,CT,Abdominal
D:\Intership\data\Normal- (2528).jpg,CT,Abdominal
D:\Intership\data\Normal- (328).jpg,CT,Abdominal
D:\Intership\data\000015 (5).jpg,CT,Chest
D:\Intership\data\Not Cancer  (1719).jpg,CT,Brain
D:\Intership\data\NORMAL-2362538-0001.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (170).jpg,CT,Brain
D:\Intership\data\N20_0_64.jpg,CT,Brain
D:\Intership\data\Cyst- (472).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-8188709-0004.jpg,XRay,Chest
D:\Intership\data\Normal- (4396).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (188).jpg,CT,Brain
D:\Intership\data\12514.jpg,XRay,Hand
D:\Intership\data\NORMAL-5728847-0002.jpg,XRay,Chest
D:\Intership\data\N6_0_65.jpg,CT,Brain
D:\Intership\data\5497.jpg,XRay,Hand
D:\Intership\data\Cyst- (2022).jpg,CT,Abdominal
D:\Intership\data\19_0_15.jpg,CT,Brain
D:\Intership\data\4643.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1698).jpg,CT,Brain
D:\Intership\data\Tumor- (209).jpg,CT,Abdominal
D:\Intership\data\6272.jpg,XRay,Hand
D:\Intership\data\2948.jpg,XRay,Hand
D:\Intership\data\6726.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1173).jpg,CT,Brain
D:\Intership\data\Cyst- (741).jpg,CT,Abdominal
D:\Intership\data\4585.jpg,XRay,Hand
D:\Intership\data\BACTERIA-6882412-0001.jpg,XRay,Chest
D:\Intership\data\10304.jpg,XRay,Hand
D:\Intership\data\7360.jpg,XRay,Hand
D:\Intership\data\Tumor- (510).jpg,CT,Abdominal
D:\Intership\data\Normal- (1268).jpg,CT,Abdominal
D:\Intership\data\Cyst- (676).jpg,CT,Abdominal
D:\Intership\data\12860.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1688).jpg,CT,Brain
D:\Intership\data\Normal- (3575).jpg,CT,Abdominal
D:\Intership\data\17_0_152.jpg,CT,Brain
D:\Intership\data\BACTERIA-6457673-0001.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (1735).jpg,CT,Brain
D:\Intership\data\2029.jpg,XRay,Hand
D:\Intership\data\N17_0_109.jpg,CT,Brain
D:\Intership\data\NORMAL-2460811-0002.jpg,XRay,Chest
D:\Intership\data\14002.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1335).jpg,CT,Brain
D:\Intership\data\Not Cancer  (3).jpg,CT,Brain
D:\Intership\data\Normal- (715).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (475).jpg,CT,Brain
D:\Intership\data\7636.jpg,XRay,Hand
D:\Intership\data\BACTERIA-8034950-0009.jpg,XRay,Chest
D:\Intership\data\12 - Copy (2).jpg,CT,Chest
D:\Intership\data\Normal- (4631).jpg,CT,Abdominal
D:\Intership\data\Normal- (4495).jpg,CT,Abdominal
D:\Intership\data\N4_0_35.jpg,CT,Brain
D:\Intership\data\13257.jpg,XRay,Hand
D:\Intership\data\5974.jpg,XRay,Hand
D:\Intership\data\Normal- (2022).jpg,CT,Abdominal
D:\Intership\data\13081.jpg,XRay,Hand
D:\Intership\data\Normal- (1990).jpg,CT,Abdominal
D:\Intership\data\N21_0_121.jpg,CT,Brain
D:\Intership\data\Cancer (1393).jpg,CT,Brain
D:\Intership\data\1874.jpg,XRay,Hand
D:\Intership\data\Cyst- (692).jpg,CT,Abdominal
D:\Intership\data\N22_0_205.jpg,CT,Brain
D:\Intership\data\11647.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1147).jpg,CT,Brain
D:\Intership\data\11195.jpg,XRay,Hand
D:\Intership\data\Tumor- (2119).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-4590061-0002.jpg,XRay,Chest
D:\Intership\data\3397.jpg,XRay,Hand
D:\Intership\data\Normal- (3542).jpg,CT,Abdominal
D:\Intership\data\15291.jpg,XRay,Hand
D:\Intership\data\2_0_96.jpg,CT,Brain
D:\Intership\data\BACTERIA-2777031-0001.jpg,XRay,Chest
D:\Intership\data\12538.jpg,XRay,Hand
D:\Intership\data\Normal- (1462).jpg,CT,Abdominal
D:\Intership\data\N23_0_70.jpg,CT,Brain
D:\Intership\data\N18_0_166.jpg,CT,Brain
D:\Intership\data\Stone- (1088).jpg,CT,Abdominal
D:\Intership\data\4966.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1675).jpg,CT,Brain
D:\Intership\data\Normal- (2060).jpg,CT,Abdominal
D:\Intership\data\Normal- (476).jpg,CT,Abdominal
D:\Intership\data\Normal- (3838).jpg,CT,Abdominal
D:\Intership\data\Cyst- (3483).jpg,CT,Abdominal
D:\Intership\data\Cancer (1119).JPG,CT,Brain
D:\Intership\data\Normal- (938).jpg,CT,Abdominal
D:\Intership\data\VIRUS-9332973-0003.jpg,XRay,Chest
D:\Intership\data\7_0_25.jpg,CT,Brain
D:\Intership\data\BACTERIA-9551241-0005.jpg,XRay,Chest
D:\Intership\data\7231.jpg,XRay,Hand
D:\Intership\data\Tumor- (874).jpg,CT,Abdominal
D:\Intership\data\Normal- (4131).jpg,CT,Abdominal
D:\Intership\data\N2_0_234.jpg,CT,Brain
D:\Intership\data\BACTERIA-669291-0001.jpg,XRay,Chest
D:\Intership\data\BACTERIA-2245040-0003.jpg,XRay,Chest
D:\Intership\data\8712.jpg,XRay,Hand
D:\Intership\data\11_0_97.jpg,CT,Brain
D:\Intership\data\2_0_86.jpg,CT,Brain
D:\Intership\data\11068.jpg,XRay,Hand
D:\Intership\data\6792.jpg,XRay,Hand
D:\Intership\data\Normal- (2340).jpg,CT,Abdominal
D:\Intership\data\4563.jpg,XRay,Hand
D:\Intership\data\15502.jpg,XRay,Hand
D:\Intership\data\Normal- (4263).jpg,CT,Abdominal
D:\Intership\data\Cyst- (2507).jpg,CT,Abdominal
D:\Intership\data\NORMAL-7330624-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (3399).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-8738712-0008.jpg,XRay,Chest
D:\Intership\data\17_0_53.jpg,CT,Brain
D:\Intership\data\19 (2).jpg,CT,Chest
D:\Intership\data\VIRUS-5702325-0002.jpg,XRay,Chest
D:\Intership\data\6445.jpg,XRay,Hand
D:\Intership\data\11765.jpg,XRay,Hand
D:\Intership\data\Cancer (1350).jpg,CT,Brain
D:\Intership\data\17_0_40.jpg,CT,Brain
D:\Intership\data\Cancer (526).jpg,CT,Brain
D:\Intership\data\Cancer (550).jpg,CT,Brain
D:\Intership\data\Cancer (822).jpg,CT,Brain
D:\Intership\data\N22_0_37.jpg,CT,Brain
D:\Intership\data\NORMAL-9349497-0001.jpg,XRay,Chest
D:\Intership\data\Cancer (787).jpg,CT,Brain
D:\Intership\data\Normal- (1596).jpg,CT,Abdominal
D:\Intership\data\11638.jpg,XRay,Hand
D:\Intership\data\JPCLN003.jpg,XRay,Chest
D:\Intership\data\N25_0_10.jpg,CT,Brain
D:\Intership\data\20_0_76.jpg,CT,Brain
D:\Intership\data\Cyst- (1645).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-7801701-0002.jpg,XRay,Chest
D:\Intership\data\13067.jpg,XRay,Hand
D:\Intership\data\15302.jpg,XRay,Hand
D:\Intership\data\6500.jpg,XRay,Hand
D:\Intership\data\10841.jpg,XRay,Hand
D:\Intership\data\6286.jpg,XRay,Hand
D:\Intership\data\BACTERIA-5445939-0002.jpg,XRay,Chest
D:\Intership\data\Cancer (2098).jpg,CT,Brain
D:\Intership\data\8229.jpg,XRay,Hand
D:\Intership\data\12075.jpg,XRay,Hand
D:\Intership\data\Cyst- (2229).jpg,CT,Abdominal
D:\Intership\data\Normal- (1948).jpg,CT,Abdominal
D:\Intership\data\11679.jpg,XRay,Hand
D:\Intership\data\12740.jpg,XRay,Hand
D:\Intership\data\11688.jpg,XRay,Hand
D:\Intership\data\Tumor- (88).jpg,CT,Abdominal
D:\Intership\data\Normal- (4077).jpg,CT,Abdominal
D:\Intership\data\N22_0_136.jpg,CT,Brain
D:\Intership\data\Normal- (2037).jpg,CT,Abdominal
D:\Intership\data\4_0_167.jpg,CT,Brain
D:\Intership\data\Cyst- (2903).jpg,CT,Abdominal
D:\Intership\data\2999.jpg,XRay,Hand
D:\Intership\data\Normal- (1443).jpg,CT,Abdominal
D:\Intership\data\Cyst- (257).jpg,CT,Abdominal
D:\Intership\data\NORMAL-4358449-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (3945).jpg,CT,Abdominal
D:\Intership\data\10051.jpg,XRay,Hand
D:\Intership\data\2912.jpg,XRay,Hand
D:\Intership\data\2693.jpg,XRay,Hand
D:\Intership\data\Tumor- (1953).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-3893778-0003.jpg,XRay,Chest
D:\Intership\data\Cancer (46).jpg,CT,Brain
D:\Intership\data\Cyst- (2153).jpg,CT,Abdominal
D:\Intership\data\N22_0_110.jpg,CT,Brain
D:\Intership\data\12874.jpg,XRay,Hand
D:\Intership\data\Normal- (402).jpg,CT,Abdominal
D:\Intership\data\Cancer (499).jpg,CT,Brain
D:\Intership\data\BACTERIA-9361638-0001.jpg,XRay,Chest
D:\Intership\data\9024.jpg,XRay,Hand
D:\Intership\data\N16_0_135.jpg,CT,Brain
D:\Intership\data\Tumor- (1862).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (1676).jpg,CT,Brain
D:\Intership\data\Normal- (1508).jpg,CT,Abdominal
D:\Intership\data\8_0_127.jpg,CT,Brain
D:\Intership\data\Normal- (4473).jpg,CT,Abdominal
D:\Intership\data\2959.jpg,XRay,Hand
D:\Intership\data\Stone- (153).jpg,CT,Abdominal
D:\Intership\data\9465.jpg,XRay,Hand
D:\Intership\data\9895.jpg,XRay,Hand
D:\Intership\data\000058 (7).jpg,CT,Chest
D:\Intership\data\VIRUS-8481308-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (982).jpg,CT,Abdominal
D:\Intership\data\Normal- (3144).jpg,CT,Abdominal
D:\Intership\data\Cancer (986).JPG,CT,Brain
D:\Intership\data\6602.jpg,XRay,Hand
D:\Intership\data\VIRUS-2569522-0002.jpg,XRay,Chest
D:\Intership\data\N20_0_60.jpg,CT,Brain
D:\Intership\data\BACTERIA-8705435-0001.jpg,XRay,Chest
D:\Intership\data\7997.jpg,XRay,Hand
D:\Intership\data\NORMAL-2552119-0001.jpg,XRay,Chest
D:\Intership\data\BACTERIA-5230712-0001.jpg,XRay,Chest
D:\Intership\data\10182.jpg,XRay,Hand
D:\Intership\data\BACTERIA-6257908-0001.jpg,XRay,Chest
D:\Intership\data\13146.jpg,XRay,Hand
D:\Intership\data\Cyst- (1354).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1201).jpg,CT,Abdominal
D:\Intership\data\Normal- (3097).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1491).jpg,CT,Abdominal
D:\Intership\data\1888.jpg,XRay,Hand
D:\Intership\data\15132.jpg,XRay,Hand
D:\Intership\data\Cancer (1037).jpg,CT,Brain
D:\Intership\data\3827.jpg,XRay,Hand
D:\Intership\data\Cyst- (3).jpg,CT,Abdominal
D:\Intership\data\Tumor- (20).jpg,CT,Abdominal
D:\Intership\data\Cyst- (467).jpg,CT,Abdominal
D:\Intership\data\Normal- (4380).jpg,CT,Abdominal
D:\Intership\data\2949.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1447).jpg,CT,Brain
D:\Intership\data\VIRUS-385176-0010.jpg,XRay,Chest
D:\Intership\data\Stone- (582).jpg,CT,Abdominal
D:\Intership\data\Tumor- (2010).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (892).jpg,CT,Brain
D:\Intership\data\10048.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (592).jpg,CT,Brain
D:\Intership\data\Stone- (661).jpg,CT,Abdominal
D:\Intership\data\10147.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (998).jpg,CT,Brain
D:\Intership\data\Not Cancer  (172).jpg,CT,Brain
D:\Intership\data\Normal- (4330).jpg,CT,Abdominal
D:\Intership\data\Cancer (2320).jpg,CT,Brain
D:\Intership\data\Stone- (901).jpg,CT,Abdominal
D:\Intership\data\Normal- (1112).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-4127619-0001.jpg,XRay,Chest
D:\Intership\data\VIRUS-5724853-0002.jpg,XRay,Chest
D:\Intership\data\NORMAL-673276-0001.jpg,XRay,Chest
D:\Intership\data\JPCNN059.jpg,XRay,Chest
D:\Intership\data\22_HGE_Seg.jpg,CT,Brain
D:\Intership\data\BACTERIA-6518498-0002.jpg,XRay,Chest
D:\Intership\data\VIRUS-4401755-0002.jpg,XRay,Chest
D:\Intership\data\8365.jpg,XRay,Hand
D:\Intership\data\JPCNN066.jpg,XRay,Chest
D:\Intership\data\13414.jpg,XRay,Hand
D:\Intership\data\5_0_123.jpg,CT,Brain
D:\Intership\data\000054 (6).jpg,CT,Chest
D:\Intership\data\7328.jpg,XRay,Hand
D:\Intership\data\12_0_195.jpg,CT,Brain
D:\Intership\data\Cancer (1398).jpg,CT,Brain
D:\Intership\data\Normal- (2899).jpg,CT,Abdominal
D:\Intership\data\Cyst- (1137).jpg,CT,Abdominal
D:\Intership\data\Cancer (1659).jpg,CT,Brain
D:\Intership\data\Normal- (3110).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-9814452-0002.jpg,XRay,Chest
D:\Intership\data\Normal- (3700).jpg,CT,Abdominal
D:\Intership\data\Tumor- (1390).jpg,CT,Abdominal
D:\Intership\data\Normal- (4906).jpg,CT,Abdominal
D:\Intership\data\Normal- (30).jpg,CT,Abdominal
D:\Intership\data\3851.jpg,XRay,Hand
D:\Intership\data\Normal- (4359).jpg,CT,Abdominal
D:\Intership\data\6757.jpg,XRay,Hand
D:\Intership\data\Tumor- (1096).jpg,CT,Abdominal
D:\Intership\data\N15_0_39.jpg,CT,Brain
D:\Intership\data\NORMAL-9816293-0001.jpg,XRay,Chest
D:\Intership\data\Tumor- (82).jpg,CT,Abdominal
D:\Intership\data\Tumor- (866).jpg,CT,Abdominal
D:\Intership\data\9896.jpg,XRay,Hand
D:\Intership\data\N5_0_133.jpg,CT,Brain
D:\Intership\data\3818.jpg,XRay,Hand
D:\Intership\data\IMG-0002-00171.jpg,CT,Brain
D:\Intership\data\13193.jpg,XRay,Hand
D:\Intership\data\Cyst- (881).jpg,CT,Abdominal
